dim_a,dim_b,flow1,flow2,freq
169,177,100,120,223.2558
247,277,100,40,74.4186
194,200,10,10,16.2791
171,177,10,20,20.9302
157,162,10,40,29.0698
232,242,10,5,10.4651
151,155,10,60,27.9070
144,144,10,80,34.8837
181,183,120,100,208.3721
181,180,120,120,245.5814
243,235,120,40,102.3256
223,205,120,60,163.7209
222,229,20,10,20.9302
138,144,20,120,27.9070
189,194,20,20,34.8837
256,383,20,5,11.6279
157,163,20,60,53.4884
143,148,20,90,41.8605
158,163,40,100,139.5349
227,224,40,10,27.9070
151,155,40,120,111.6279
202,211,40,20,46.5116
182,185,40,40,69.7674
256,477,40,5,13.9535
170,179,40,80,97.6744
133,134,5,100,18.6047
182,189,5,10,9.3023
137,137,5,110,18.6047
132,136,5,120,18.6047
125,125,5,160,27.9070
167,170,5,20,11.6279
157,163,5,30,10.4651
151,156,5,40,15.1163
147,153,5,50,16.2791
191,204,5,5,6.3953
143,148,5,60,18.6047
135,140,5,80,16.2791
164,170,60,100,148.8372
254,353,60,10,41.4747
159,170,60,120,165.8986
250,311,60,15,41.4747
244,249,60,20,52.9954
180,185,60,50,110.5991
182,185,60,60,105.9908
170,175,60,80,129.0323
170,178,80,100,184.3318
164,173,80,120,207.3733
210,193,80,40,129.0323
196,183,80,50,129.0323
175,182,80,80,175.1152
